elapsed,action,code,ip_dst_addr,bytes,method,url
4256,TCP_TUNNEL,200,152.199.24.163,6850789,CONNECT,dms.licdn.com:443
1793,TCP_TUNNEL,200,35.190.60.146,3956,CONNECT,idsync.rlcdn.com:443
2070,TCP_TUNNEL,200,15.235.42.102,4749,CONNECT,wt.rqtrk.eu:443
2254,TCP_TUNNEL,200,35.163.122.238,6532,CONNECT,dt.adsafeprotected.com:443
2017,TCP_TUNNEL,200,108.156.184.98,12121,CONNECT,js.adscale.de:443
1782,TCP_TUNNEL,200,173.222.111.53,1175,CONNECT,stags.bluekai.com:443
2071,TCP_TUNNEL,200,183.79.248.124,8617,CONNECT,cksync.yahoo.co.jp:443
1166,TCP_TUNNEL,200,34.111.8.32,1772,CONNECT,events.bouncex.net:443
2061,TCP_TUNNEL,200,151.101.146.49,5337,CONNECT,sync-tm.everesttech.net:443
1425,TCP_TUNNEL,200,172.217.0.162,1940,CONNECT,ade.googlesyndication.com:443
1704,TCP_TUNNEL,200,212.77.99.29,4981,CONNECT,ssp.wp.pl:443
1670,TCP_TUNNEL,200,52.223.40.198,4585,CONNECT,insight.adsrvr.org:443
2070,TCP_TUNNEL,200,8.28.7.83,5103,CONNECT,simage2.pubmatic.com:443
1680,TCP_TUNNEL,200,99.83.181.31,476,CONNECT,signal-metrics-collector-beta.s-onetag.com:443
1166,TCP_TUNNEL,200,34.111.8.32,10946,CONNECT,cnn.bounceexchange.com:443
1665,TCP_TUNNEL,200,13.248.140.122,6067,CONNECT,collector.cdp.cnn.com:443
2237,TCP_TUNNEL,200,108.156.184.23,6790,CONNECT,static.adsafeprotected.com:443
2184,TCP_TUNNEL,200,142.250.191.162,1878,CONNECT,pagead2.googlesyndication.com:443
2071,TCP_TUNNEL,200,3.225.218.10,7103,CONNECT,ups.analytics.yahoo.com:443
1692,TCP_TUNNEL,200,75.2.13.80,375,CONNECT,connect-metrics-collector.s-onetag.com:443
2260,TCP_TUNNEL,200,108.156.184.23,94779,CONNECT,static.adsafeprotected.com:443
2077,TCP_TUNNEL,200,54.172.237.109,5855,CONNECT,bpi.rtactivate.com:443
1682,TCP_TUNNEL,200,99.83.161.114,468,CONNECT,receive.wmcdp.io:443
452,TCP_TUNNEL,200,194.213.62.34,3899,CONNECT,bbnaut.ibillboard.com:443
24,TCP_TUNNEL,200,34.117.239.71,39,CONNECT,events-ssc.33across.com:443
3039,TCP_TUNNEL,200,8.251.185.252,3520041,CONNECT,clips-media-ctl.warnermediacdn.com:443
891,TCP_TUNNEL,200,184.31.194.223,1172,CONNECT,eus.rubiconproject.com:443
968,TCP_TUNNEL,200,172.217.5.10,1388,CONNECT,fonts.googleapis.com:443
1125,TCP_TUNNEL,200,192.40.36.238,7095,CONNECT,ssum.casalemedia.com:443
1907,TCP_TUNNEL,200,142.250.190.67,1379,CONNECT,fonts.gstatic.com:443
2327,TCP_TUNNEL,200,68.67.161.182,13109,CONNECT,ib.adnxs.com:443
4328,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
4050,TCP_TUNNEL,200,69.173.151.100,4332,CONNECT,pixel-us-east.rubiconproject.com:443
239,TCP_TUNNEL,200,68.67.161.182,6659,CONNECT,ib.adnxs.com:443
